"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31900701 - CONTRIBUICAO PATRONAL","             339.815,20","              28.843,29"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31901112 - PESSOAL CIVIL PAGO PELA UNIDADE","         372.419.363,76","          16.228.085,13"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31901129 - PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO","          28.698.216,24","             279.832,52"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31901131 - PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS","           7.106.717,41","              92.182,98"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31901136 - ABONO DE PERMANENCIA","           2.598.894,64","             215.484,21"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31901313 - FUNDO DE GARANTIA POR TEMPO DE SERVICO","          10.340.109,60","             939.769,02"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31901321 - FGTS-13 SALARIO","             441.497,57","             490.213,49"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31901323 - PREVIDENCIA SOCIAL/PESSOAL CLT","          30.525.528,69","           4.070.285,96"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","31911301 - CONTRIB PATRONAL-SAO PAULO PREVIDENCIA-SPPRE","          26.031.810,72","           2.123.039,24"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33503977 - CONVENIOS C/ENTID.PRIVADAS S/FINS LUCRATIVOS","         163.383.257,00","                   0,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33901401 - DIARIAS PESSOAL CIVIL","              34.918,00","                 541,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33901416 - DIARIAS NO EXTERIOR","              32.859,95","                   0,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33901801 - AUXILIO FINANCEIRO A ESTUDANTES","              51.234,40","                   0,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33903010 - GENEROS ALIMENTICIOS","           2.380.871,53","             439.330,49"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33903012 - MATERIAL DE CAMA, MESA E BANHO","              39.744,80","             210.664,43"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33903013 - MATERIAL E UTENS.P/REFEITORIO,COPA E COZINHA","             280.593,05","                   0,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33903014 - MATERIAL DE LIMPEZA","              40.470,16","                   0,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33903015 - ARTIGOS DE HIGIENE PESSOAL","             368.366,23","                   0,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33903016 - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM","              55.062,66","                   0,00"

"10 - SAUDE","302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL","33903024 - OUTROS COMBUSTIVEIS E LUBRIFICANTES","             183.599,11","              23.514,78"

