Tabela 1,,,,,,,,,,,,,
,,Unicamp,,,,,Famerp,,,Total Geral,,,
Sexo,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Masculino,30501,"48,8",1888,"55,3",1509,"31,2",30,"28,6",32010,"47,5",1918,"54,5",
Feminino,32066,"51,3",1524,"44,7",3332,"68,8",75,"71,4",35398,"52,5",1599,"45,5",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Tabela 2,,,,,,,,,,,,,
,,Unicamp,,,,,Famerp,,,Total Geral,,,
Idade,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Menor de 16 anos,121,"0,2",0,0,3,"0,1",0,0,124,"0,2",0,0,
16 anos,2141,"3,4",7,"0,2",69,"1,4",0,0,2210,"3,3",7,"0,2",
17 anos,13229,"21,1",435,"12,8",605,"12,5",8,"7,6",13834,"20,5",443,"12,6",
18 anos,21715,"34,7",1108,"32,5",1211,25,19,"18,1",22926,34,1127,32,
19 anos,11938,"19,1",776,"22,7",1036,"21,4",23,"21,9",12974,"19,3",799,"22,7",
20 anos,5457,"8,7",358,"10,5",791,"16,3",17,"16,2",6248,"9,3",375,"10,7",
21 a 23 anos,5076,"8,1",386,"11,3",790,"16,3",33,"31,4",5866,"8,7",419,"11,9",
24 a 29 anos,1975,"3,2",222,"6,5",256,"5,3",5,"4,8",2231,"3,3",227,"6,5",
Mais de 29 anos,915,"1,5",120,"3,5",80,"1,7",0,0,995,"1,5",120,"3,4",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Tabela 3,,,,,,,,,,,,,
,,Unicamp,,,,,Famerp,,,Total Geral,,,
Estado Civil,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Solteiros,61593,"98,4",3321,"97,3",4771,"98,6",105,100,66364,"98,5",3426,"97,4",
Casados,644,1,71,"2,1",44,"0,9",0,0,688,1,71,2,
Viúvos,10,0,1,0,3,"0,1",0,0,13,0,1,0,
