Tabela 1,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Sexo,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Masculino,27917,45,1241,"57,8",7749,"49,1",614,56,35666,"45,9",1855,"57,2",
Feminino,34075,55,906,"42,2",8027,"50,9",482,44,42102,"54,1",1388,"42,8",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,61992,100,2147,100,15776,100,1096,100,77768,100,3243,100,
Tabela 2,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Idade,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Menor de 16 anos,100,"0,2",0,0,27,"0,2",0,0,127,"0,2",0,0,
16 anos,1743,"2,8",0,0,498,"3,2",1,"0,1",2241,"2,9",1,0,
17 anos,11637,"18,8",300,14,2927,"18,6",89,"8,1",14564,"18,7",389,12,
18 anos,21778,"35,1",770,"35,9",5418,"34,3",290,"26,5",27196,35,1060,"32,7",
19 anos,12656,"20,4",542,"25,2",3032,"19,2",259,"23,6",15688,"20,2",801,"24,7",
20 anos,6181,10,226,"10,5",1384,"8,8",114,"10,4",7565,"9,7",340,"10,5",
21 a 23 anos,5452,"8,8",191,"8,9",1307,"8,3",136,"12,4",6759,"8,7",327,"10,1",
24 a 29 anos,1798,"2,9",90,"4,2",725,"4,6",137,"12,5",2523,"3,2",227,7,
Mais de 29 anos,647,1,28,"1,3",458,"2,9",70,"6,4",1105,"1,4",98,3,
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,61992,100,2147,100,15776,100,1096,100,77768,100,3243,100,
Tabela 3,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Estado Civil,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Solteiros,61315,"98,9",2129,"99,2",15355,"97,3",1039,"94,8",76670,"98,6",3168,"97,7",
Casados,394,"0,6",14,"0,7",298,"1,9",47,"4,3",692,"0,9",61,"1,9",
Viúvos,2,0,0,0,5,0,1,"0,1",7,0,1,0,
Separação legal,44,"0,1",0,0,33,"0,2",4,"0,4",77,"0,1",4,"0,1",
Outro,237,"0,4",4,"0,2",85,"0,5",5,"0,5",322,"0,4",9,"0,3",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,677,"1,1",2147,100,15776,100,1096,100,77768,100,3243,100,
Tabela 4,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Cor ou Raça,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
declarada,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Branca,45449,"73,3",1533,"71,4",10869,"68,9",691,"63,1",56318,"72,4",2224,"68,6",
Preta,2172,"3,5",75,"3,5",764,"4,8",54,"4,9",2936,"3,8",129,4,
Parda,9157,"14,8",355,"16,5",2853,"18,1",235,"21,4",12010,"15,4",590,"18,2",
Amarela,3156,"5,1",102,"4,8",766,"4,9",59,"5,4",3922,5,161,5,
Indígena,130,"0,2",3,"0,1",35,"0,2",4,"0,4",165,"0,2",7,"0,2",
Não declarada,995,"1,6",48,"2,2",271,"1,7",30,"2,7",1266,"1,6",78,"2,4",
Em branco,933,"1,5",31,"1,4",218,"1,4",23,"2,1",1151,"1,5",54,"1,7",
Total,61992,100,2147,100,15776,100,1096,100,77768,100,3243,100,
Tabela 5,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Local de,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
Residência,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Região Metropol. de SP,18415,"29,7",511,"23,8",3416,"21,7",178,"16,2",21831,"28,1",689,"21,3",
Região Metropol. de Campinas,10853,"17,5",749,"34,9",4730,30,514,"46,9",15583,20,1263,39,
Metropol. Baixada Santista,1134,"1,8",29,"1,4",214,"1,4",9,"0,8",1348,"1,7",38,"1,2",
Outras Regiões de SP,29791,"48,1",840,"39,1",7304,"46,3",394,36,37095,"47,7",1234,"38,1",
Outros Estados,1799,"2,9",18,"0,8",112,"0,7",1,"0,1",1911,"2,5",19,"0,6",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,61992,100,2147,100,15776,100,1096,100,77768,100,3243,100,
Tabela 6,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Tipo de Escola do Ensino,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
Fundamental,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Pública,13467,"21,7",486,"22,6",5531,"35,1",445,"40,6",18998,"24,4",931,"28,7",
