Tabela 1,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Sexo,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Masculino,28378,"46,2",1238,"57,4",7649,"48,7",673,"58,6",36027,"46,7",1911,"57,8",
Feminino,33071,"53,8",920,"42,6",8048,"51,3",475,"41,4",41119,"53,3",1395,"42,2",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,61449,100,2158,100,15697,100,1148,100,77146,100,3306,100,
Tabela 2,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Idade,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Menor de 16 anos,91,"0,2",0,0,29,"0,2",0,0,120,"0,2",0,0,
16 anos,1562,"2,5",3,"0,1",642,"4,1",0,0,2204,"2,9",3,"0,1",
17 anos,11781,"19,2",270,"12,5",3222,"20,5",83,"7,2",15003,"19,5",353,"10,7",
18 anos,21675,"35,3",781,"36,2",5396,"34,4",336,"29,3",27071,"35,1",1117,"33,8",
19 anos,12733,"20,7",561,26,2886,"18,4",262,"22,8",15619,"20,3",823,"24,9",
20 anos,5944,"9,7",222,"10,3",1199,"7,6",111,"9,7",7143,"9,3",333,"10,1",
21 a 23 anos,5378,"8,8",205,"9,5",1216,"7,8",161,14,6594,"8,6",366,"11,1",
24 a 29 anos,1708,"2,8",91,"4,2",706,"4,5",120,"10,5",2414,"3,1",211,"6,4",
Mais de 29 anos,577,"0,9",25,"1,2",401,"2,6",75,"6,5",978,"1,3",100,3,
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,61449,100,2158,100,15697,100,1148,100,77146,100,3306,100,
Tabela 3,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Estado Civil,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Solteiros,60765,"98,9",2126,"98,5",15339,"97,7",1095,"95,4",76104,"98,7",3221,"97,4",
Casados,377,"0,6",21,1,251,"1,6",46,4,628,"0,8",67,2,
Viúvos,15,0,0,0,4,0,0,0,19,0,0,0,
Separação legal,57,"0,1",2,"0,1",19,"0,1",3,"0,3",76,"0,1",5,"0,2",
Outro,235,"0,4",9,"0,4",84,"0,5",4,"0,4",319,"0,4",13,"0,4",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,684,"1,1",2158,100,15697,100,1148,100,77146,100,3306,100,
Tabela 4,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Cor ou Raça,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
declarada,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Branca,45639,"74,3",1659,"76,9",11077,"70,6",802,"69,9",56716,"73,5",2461,"74,4",
Preta,2052,"3,3",37,"1,7",693,"4,4",39,"3,4",2745,"3,6",76,"2,3",
Parda,8553,"13,9",252,"11,7",2638,"16,8",183,"15,9",11191,"14,5",435,"13,2",
Amarela,3235,"5,3",112,"5,2",786,5,67,"5,8",4021,"5,2",179,"5,4",
Indígena,142,"0,2",1,"0,1",50,"0,3",6,"0,5",192,"0,3",7,"0,2",
Não declarada,897,"1,5",64,3,239,"1,5",29,"2,5",1136,"1,5",93,"2,8",
Em branco,931,"1,5",33,"1,5",214,"1,4",22,"1,9",1145,"1,5",55,"1,7",
Total,61449,100,2158,100,15697,100,1148,100,77146,100,3306,100,
Tabela 5,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Local de,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
Residência,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Região Metropol. de SP,19950,"32,5",520,"24,1",3872,"24,7",216,"18,8",23822,"30,9",736,"22,3",
Região Metropol. de Campinas,10830,"17,6",758,"35,1",4839,"30,8",522,"45,5",15669,"20,3",1280,"38,7",
Metropol. Baixada Santista,1151,"1,9",35,"1,6",233,"1,5",10,"0,9",1384,"1,8",45,"1,4",
Outras Regiões de SP,27880,"45,4",824,"38,2",6629,"42,2",396,"34,5",34509,"44,7",1220,"36,9",
Outros Estados,1638,"2,7",21,1,124,"0,8",4,"0,4",1762,"2,3",25,"0,8",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,61449,100,2158,100,15697,100,1148,100,77146,100,3306,100,
Tabela 6,,,,,,,,,,,,,
,,,Integral,,,Noturno,,,,Total,,,
Tipo de Escola do Ensino,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
Fundamental,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Pública,13094,"21,3",337,"15,6",5237,"33,4",368,"32,1",18331,"23,8",705,"21,3",
